epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1831,0.9949,4.68538,1.2597,0,0,0,0,0.59803,4.77891,0.97584,2.78e-06,2.78e-06,2.78e-06
2,33.5841,0.92639,4.63027,1.21584,0,0,0,0,0.58834,4.77985,0.96995,5.5739e-06,5.5739e-06,5.5739e-06
3,48.7753,0.97213,4.64953,1.22961,0,0,0,0,0.59081,4.77605,0.96872,6.71648e-06,6.71648e-06,6.71648e-06
4,63.7909,1.0318,4.64066,1.29093,0,0,0,0,0.5865,4.77555,0.96318,6.20774e-06,6.20774e-06,6.20774e-06
5,78.3207,0.89228,4.59077,1.13727,0,0,0,0,0.58978,4.77589,0.96088,4.04768e-06,4.04768e-06,4.04768e-06
