epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02155,1.62288,5.76292,1.63565,0,0,0,0,0.55247,4.65813,0.68032,0,0,0
2,6.07019,1.66549,5.79061,1.86539,0,0,0,0,0.54634,4.66372,0.6791,2.82013e-06,2.82013e-06,2.82013e-06
3,9.31562,1.62315,5.68562,1.75782,0,0,0,0,0.54586,4.66098,0.67979,5.02052e-06,5.02052e-06,5.02052e-06
4,12.0503,1.46182,5.71723,1.69607,0,0,0,0,0.54879,4.65565,0.68279,6.60117e-06,6.60117e-06,6.60117e-06
5,14.9053,1.6097,5.71659,1.59846,0,0,0,0,0.55195,4.65468,0.68309,7.56208e-06,7.56208e-06,7.56208e-06
6,17.8608,1.33587,5.62187,1.46223,0,0,0,0,0.5491,4.65549,0.67502,7.90325e-06,7.90325e-06,7.90325e-06
7,20.5576,1.80697,5.90446,1.68075,0,0,0,0,0.54316,4.65521,0.67419,7.62468e-06,7.62468e-06,7.62468e-06
8,23.1819,1.36035,5.55053,1.43438,0,0,0,0,0.53957,4.65464,0.67472,6.72637e-06,6.72637e-06,6.72637e-06
9,25.6487,1.34358,5.65708,1.47407,0,0,0,0,0.53707,4.65328,0.67403,5.20832e-06,5.20832e-06,5.20832e-06
10,28.2207,1.31204,5.82648,1.60077,0,0,0,0,0.53446,4.65196,0.67534,3.07053e-06,3.07053e-06,3.07053e-06
