epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6,0.99623,4.30375,1.25972,0,0,0,0,0.59713,4.33367,0.97273,6.26e-06,6.26e-06,6.26e-06
2,29.793,0.90555,4.26098,1.20849,0,0,0,0,0.58199,4.33132,0.96267,1.25513e-05,1.25513e-05,1.25513e-05
3,43.7909,0.94917,4.28726,1.21765,0,0,0,0,0.57678,4.32196,0.95466,1.51242e-05,1.51242e-05,1.51242e-05
4,57.6994,0.99526,4.26319,1.27439,0,0,0,0,0.56349,4.31986,0.94309,1.39786e-05,1.39786e-05,1.39786e-05
5,73.5304,0.84541,4.25139,1.11326,0,0,0,0,0.56009,4.31884,0.93836,9.11456e-06,9.11456e-06,9.11456e-06
